name,url,description,test_type
SAP SD (Sales and Distribution) (New),https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/,"SAP SD (Sales and Distribution) (New): Multi-choice test that measures the knowledge of ERP basics, SAP architecture, sales, distribution, master data, documents, basic functions in S&D, billing…",
Reading Comprehension - Spanish v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,Reading Comprehension - Spanish v1: The Reading Comprehension - Spanish assessment provides a general measure of Spanish reading comprehension. This test is comprised of items that contain a…,
Verify - Deductive Reasoning,https://www.shl.com/products/product-catalog/view/verify-deductive-reasoning/,Verify - Deductive Reasoning: The Verify Deductive Reasoning Test is an online ability assessment that can be used to support both pre- and post-hire assessment processes. It enables…,
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,"Adobe Experience Manager (New): Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Automata Data Science (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/,Programming Concepts: The Programming Concepts test measures knowledge of the core aspects of computer science programming that is valid across programming languages. Designed for…,
SAP Business Objects WebI (New),https://www.shl.com/products/product-catalog/view/sap-business-objects-webi-new/,"SAP Business Objects WebI (New): Multi-choice test that measures the knowledge of SAP interactive analysis, reporting, formatting and scheduling documents.",
Typing (New),https://www.shl.com/products/product-catalog/view/typing-new/,Typing (New): Typing based test that evaluates typing speed and accuracy.,
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form: The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks…,
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,"Customer Service Phone Simulation: As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample…",
Manager + 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,"Manager + 7.1 (International): Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s…",
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Data Entry Alphanumeric Split Screen - US: The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes…,
Manufacturing Skilled Maintenance Worker,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Manufacturing Skilled Maintenance Worker: The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe…,
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,"Docker (New): Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.",
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,"Microsoft PowerPoint 365 - Essentials (New): The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and…",
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,"Assessment and Development Center Exercises: SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and…",
WriteX - Email Writing (Managerial) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/,"WriteX - Email Writing (Managerial) (New): Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette.     Your use…",
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,"Perl (New): Multi-choice test that measures the knowledge of Perl scripting used for text manipulation, web development, system administration, etc.",
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,"PHP (New): Multi-choice test that measures the knowledge of OOPs & programming constructs, web & database handling and advanced PHP.",
What Is The Value - US,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/,What Is The Value - US: The What is the Value –US test measures money handling ability. This test is designed for entry-level positions where handling money is required on a regular…,
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure…,
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,Workplace Safety - Team 7.1 (Americas): The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe…,
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,Basic Biology (New): Multi choice test that measures the candidate's basic understanding of Biology.,
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,"HiPo Unlocking Potential Report 2.0: This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it…",
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Contact Center Team Lead/Coach - Short Form: The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership  positions who tend to supervise hourly employees…,
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,"IBM DataStage (New): Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer…",
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,"Civil Engineering (New): Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources…",
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,"Apache Hive (New): Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive…",
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,OPQ MQ Sales Report: This OPQ (Occupational Personality Questionnaire) report provides a graphical and narrative summary of an individual's natural style that is critical to sales…,
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,"MS PowerPoint (New): Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats.",
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,"Geoinformatics Engineering (New): Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and…",
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form: This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple…,
Workplace Administration Skills (New),https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,"Workplace Administration Skills (New): Multi-choice test that measures the ability to organize one's workplace, properly maintain data, perform simple tasks on the computer and resolve…",
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,"ASP .NET with C# (New): Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access…",
UNIX (New),https://www.shl.com/products/product-catalog/view/unix-new/,"UNIX (New): Multi-choice test that measures the knowledge on the concepts of UNIX commands, file system, file handling, regular expression, awk programming and shell…",
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,"Economics (New): Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.",
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,"ExpressJS (New): Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.",
Customer Service - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-short-form/,Customer Service - Short Form: The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone…,
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"ADO.NET (New): Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,"IBM Sterling Order Management System (New): Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory…",
Written English v1,https://www.shl.com/products/product-catalog/view/written-english-v1/,Written English v1: The Written English test measures knowledge of US English grammar and English reading comprehension. It is designed for those with English as a second language…,
Spring (New),https://www.shl.com/products/product-catalog/view/spring-new/,"Spring (New): Multi-choice test that measures the knowledge of Spring core, AOP, IOC container and transactions.",
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,Manufac. & Indust. - Safety & Dependability 8.0: The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment   measures the behaviors that underlie safe performance in a work…,
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,SHL Verify Interactive - Inductive Reasoning: Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts.,
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,"Adobe Photoshop CC: The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File…",
Verify Interactive G+ Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-report/,Verify Interactive G+ Report: Report for Verify Interactive G+,
Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,Store Manager 7.1 (International): Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or…,
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,Managerial Scenarios Narrative Report: Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It…,
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,"Oracle WebLogic Server (New): Multi-choice test that measures the knowledge of the concepts of WebLogic such as server installation, administration, node, logs manager, security and…",
Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Entry level Sales 7.1 (Americas): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,"Cisco AppDynamics (New): Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom…",
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Industrial Professional and Skilled 7.1 (Americas): Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in…,
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,Enterprise Leadership Report 2.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…,
R Programming (New),https://www.shl.com/products/product-catalog/view/r-programming-new/,R Programming (New): Multi-choice test that measures the knowledge of R programming and its application in statistics.,
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,"Financial Accounting (New): Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate…",
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,Global Skills Assessment: The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most…,
SVAR - Spoken Spanish (North American) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-north-american-new/,"SVAR - Spoken Spanish (North American) (New): Test automatizado de español oral que mide la fluidez, la pronunciación, la escucha activa, el vocabulario, la gramática y la comprensión oral del español…",
Sales Profiler Cards,https://www.shl.com/products/product-catalog/view/sales-profiler-cards/,Sales Profiler Cards: The SHL Sales Model is mapped to the SHL Universal Competency Model (UCF). The Sales Model Profiler cards have been developed to enable you to use the Sales…,
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,"OPQ UCF Development Action Planner Report 1.0: This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for…",
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,"Microsoft Excel 365 (New): The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics…",
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,"Maven (New): Multi-choice test that measures the knowledge of Maven installation, dependencies, Project Object Model (POM), builds and plugins.",
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,"Oracle DBA (Advanced Level) (New): Multi-choice test that measures the knowledge of Oracle DB architecture, backup and recovery, MySQL administration and advanced topics such as network…",
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,SHL Verify Interactive – Numerical Reasoning: Assesses how the candidate comprehends numerical information in various formats.,
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Industrial - Semi-skilled 7.1 (Americas): Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe…,
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,"Microsoft Excel 365 - Essentials (New): The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the…",
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,Conversational Multichat Simulation : This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It…,
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,OPQ Candidate Plus Report: A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.,
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,"Professional + 7.1 (Americas): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",
Virtual Assessment and Development Centers,https://www.shl.com/products/product-catalog/view/virtual-assessment-and-development-centers/,Virtual Assessment and Development Centers: SHL’s innovative virtual assessment centers wow new hires or existing employees and show how you invest in your people. They are a highly engaging experience…,
SAP HCM (Human Capital Management) (New),https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/,"SAP HCM (Human Capital Management) (New): Multi-choice test that measures the knowledge of SAP HR/ HCM structure, personnel administration, SAP HCM tasks, SAP HCM SuccessFactors solutions.",
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,Automata (New): An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different…,
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Apprentice 8.0 Job Focused Assessment: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions…",
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,Professional 8.0 JFA: The Professional 8.0 Job-Focused Assessment is designed for all non-managerial professional/individual contributor positions. It measures behaviors that…,
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,"Apache Spark (New): Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,PJM Development Report: The Person-Job Match Report is unique in that it  matches the performance potential of the  individual to the job’s specific competencies. This  provides you…,
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,Java Design Patterns (New): Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns.,
SQL Server (New),https://www.shl.com/products/product-catalog/view/sql-server-new/,"SQL Server (New): Multi-choice test that measures the knowledge of basic SQL queries, creating and altering tables, filtering, grouping, aggregation in SQL and querying multiple…",
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",
Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,Supervisor 7.1 (International): Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…,
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,General Entry Level - All Industries 7.1(Americas): Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of…,
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,Project Manager - Short Form: The Project Manager solution is designed for positions that lead medium to large scale projects with multiple team members involved. Sample tasks for this job…,
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,"Load Runner (New): Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller…",
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,Organic Chemistry (New): Multi-choice test that measures the knowledge of the basic concepts in organic chemistry.,
Contact Center Sales & Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0/,"Contact Center Sales & Service + 8.0 : The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact…",
SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-castilian-new/,"SVAR - Spoken Spanish (Castilian) (New): Test automatizado de español oral que mide la fluidez, la pronunciación, la escucha activa, el vocabulario, la gramática y la comprensión oral del español…",
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,"MS Excel (New): Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data.",
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,"MQ Motivation Report Pack: The MQ Report pack consists of the Profile Chart, Employee Motivation Report and the Candidate Report and is a cost effective way of ensuring that your…",
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,"ITIL (IT Infrastructure Library) (New): Multi-choice test that measures the knowledge of capacity management, change management and problem management.",
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,"SQL Server Reporting Services (SSRS) (New): Multi-choice test that measures the knowledge of SSRS architecture, report creation, formatting, calculations, creating matrix reports and charts, grouping…",
Verify - Working with Information,https://www.shl.com/products/product-catalog/view/verify-working-with-information/,Verify - Working with Information: This test measures a candidate's ability to process information. Candidates are given information in different table formats and are asked to use the…,
Entry Level Cashier 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,"Entry Level Cashier 7.1 (International): The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for…",
SAP Hybris (New),https://www.shl.com/products/product-catalog/view/sap-hybris-new/,"SAP Hybris (New): Multi-choice test that measures the knowledge of Hybris extensions, its architecture, configuration, data modelling and management, service layer programming…",
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,"Cardiology and Diabetes Management (New): Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used…",
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Automata Data Science Pro (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,"Hibernate (New): Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).",
Reading Comprehension - English v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,Reading Comprehension - English v1: The Reading Comprehension - English   assessment provides a general measure of   English reading comprehension. This test is   comprised of items that contain…,
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,Linux Administration (New): Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,"Housekeeping (New): Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.",
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,"Biochemistry (New): Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and…",
Industrial - Entry Level 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,"Industrial - Entry Level 7.1 (International): Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe…",
Python (New),https://www.shl.com/products/product-catalog/view/python-new/,"Python (New): Multi-choice test that measures the knowledge of Python programming, databases, modules and library.",
RemoteWorkQ,https://www.shl.com/products/product-catalog/view/remoteworkq/,"RemoteWorkQ: Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure…",
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,"Medical Terminology (New): Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis.",
Verify Interactive G+ Candidate Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,Verify Interactive G+ Candidate Report: Verify Interactive G+ Candidate Report,
Reviewing Forms - US (R1),https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/,Reviewing Forms - US (R1): This assessment measures ability to detect errors in forms by comparing text in a form to text in a paragraph format. Based on information in the paragraph…,
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,Digital Advertising (New): Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,Microsoft SQL Server 2014 Programming: The Microsoft SQL Server 2014 Programming test measures knowledge of Microsoft Structure Query Language (SQL) Server 2014 Programming. Designed for experienced…,
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,"Informatica (Developer) (New): Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,"Mechatronics Engineering (New): Multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators…",
SAP Materials Management (New),https://www.shl.com/products/product-catalog/view/sap-materials-management-new/,"SAP Materials Management (New): Multi-choice test that measures the knowledge of SAP materials management, organization units integration, purchasing, pricing, release procedure, contracts…",
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,"Chemical Engineering (New): Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles…",
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,"SQL Server Analysis Services (SSAS) (New): Multi-choice test that measures the knowledge of SSAS database, querying multidimensional analysis solutions, cube hierarchies, measures, dimensions, power BI…",
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,"Biotech Lab Techniques (New): Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,MS Word (New): Multi-choice test that measures the ability to use MS Word to record and save textual information.,
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new/,"Production Engineering (New): Multi-choice test that measures the knowledge of production technology and analysis, metal cutting, tool design, material science and CIM.",
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,Enterprise Leadership Report 1.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…,
UiPath RPA Development (New),https://www.shl.com/products/product-catalog/view/uipath-rpa-development-new/,"UiPath RPA Development (New): Multi-choice test that measures the knowledge on UiPath architecture, workflows recording, UI interaction, automation, and orchestrator.",
Teradata Development (New),https://www.shl.com/products/product-catalog/view/teradata-development-new/,"Teradata Development (New): Multi-choice test that measures the knowledge on Teradata concepts of RDBMS components, performance availability features, utilities, workload management…",
SVAR - Spoken French (European) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-european-new/,"SVAR - Spoken French (European) (New): Test automatisé de français parlé qui évalue l'aisance, la prononciation, l'écoute active, le vocabulaire, la grammaire, et la compréhension du français parl…",
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,Data Entry Ten Key Split Screen: Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,"Agile Testing (New): Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Accounts Receivable (New): Multiple-choice test that measures the knowledge of processing receivables and invoices.,
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,"Apache HBase (New): Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration…",
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Entry Level Customer Serv-Retail & Contact Center: The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by…,
Reading Comprehension v2,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,Reading Comprehension v2: The Reading Comprehension - English   assessment provides a general measure of   English reading comprehension. This test is   comprised of items that contain…,
Swing (New),https://www.shl.com/products/product-catalog/view/swing-new/,"Swing (New): Multi-choice test that measures the knowledge of components, containers, layouts and event handling in Swing.",
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,Business Communications: This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at…,
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,Data Entry (New): Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,"Microsoft Word 365 - Essentials (New): The Microsoft Word 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the…",
Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,"Teller 7.0: Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the…",
